240
('IXmF4GbA86E', '.mp4'),240
('NY_n387t9gA', '.mp4'),111
('FfV_uZy8-j8', '.mp4'),154
('IJn-EHd7VeU', '.mp4'),169
('4voZpsokIiY', '.mp4'),108
('rtTQYA8fkxM', '.mp4'),142
('H3VCTcmmKUk', '.mp4'),122
('0YSCYUwxg_E', '.mp4'),87
('PKWFvbgkWls', '.mp4'),122
('31crA53Dgu0', '.mp4'),28
('UknZiaIC9y8', '.mp4'),178
('2hXwz0rNNVs', '.mp4'),83
('g2nmgcVbfKE', '.mp4'),137
('W7zdMeZPkpY', '.mp4'),2
('oeCihv9A3ac', '.mp4'),159
('fXSovfzyx28', '.mp4'),152
('YdHldlDpm6M', '.mp4'),159
('4u6bWs-ZG0o', '.mp4'),88
('qYNcHOTsopk', '.mp4'),138
('yFUAuIfJNJg', '.mp4'),200
('rA7KP__DaV8', '.mp4'),111
('eiNV4eWYpxU', '.mp4'),66
('aq-7UBc3BPk', '.mp4'),225
('ODig-EXEUPE', '.mp4'),291
('-PZhroSY8-I', '.mp4'),219
('5H87zMIllBo', '.mp4'),223
('okeDc2eSJxE', '.mp4'),135
('zoYgCg6i9C8', '.mp4'),190
('1-ZEJxibLrU', '.mp4'),388
('U17_7VRTPmo', '.mp4'),106
('epkcoQmSUT0', '.mp4'),97
('HL1UzIK-flA', '.mp4'),79
('BQNiC9NguJ0', '.mp4'),313
('sxpd4c_tiLI', '.mp4'),73
('E58qLXBfLrs', '.mp4'),90
('1Uw6ZkbsAH8', '.mp4'),87
('OKHT7-TDPoQ', '.mp4'),117
('-NPx9geRcJU', '.mp4'),58
('TEDkZ02pmWo', '.mp4'),94
('Io0fBr1XBUA', '.mp4'),89
('b4ozdiGys5g', '.mp4'),66
('NaTGwlfRB_c', '.mp4'),81
('xLMoxjfPUW4', '.mp4'),108
('nF3y6vWf71E', '.mp4'),38
('BQeMxWjpr-Y', '.mp4'),128
('my0qJGUxrE0', '.mp4'),98
('QIFnS4X90x4', '.mp4'),124
('Lmxcp_i9T3s', '.mp4'),92
('bpOR_HuHRNs', '.mp4'),236
('L5Gj2wfj-zw', '.mp4'),49
('mQvteoFiMlg', '.mp4'),265
('RMM2-qudDvo', '.mp4'),206
('438fndL6pJ0', '.mp4'),82
('m04jl8VxSic', '.mp4'),88
('790QLBpW8ek', '.mp4'),171
('CiP3jC9CQUk', '.mp4'),141
('0c-xvXxzZzw', '.mp4'),163
('it_04dk_97E', '.mp4'),141
('bY4F5s9mMO4', '.mp4'),33
('ylT16QB6Uig', '.mp4'),181
('b-3BI9AspYc', '.mp4'),82
('D8yJsYMUW_k', '.mp4'),72
('KdS6HFQ_LUc', '.mp4'),251
('8ELh8eOzq_0', '.mp4'),129
('DJsjJBbOg2k', '.mp4'),12
('cEmrvCiEapM', '.mp4'),120
('DFSG8KfIvBY', '.mp4'),199
('mIBjdKn97T4', '.mp4'),173
('55AUYnFKJGQ', '.mp4'),48
('Z1FK7yKRVXQ', '.mp4'),160
('oFB-6Ncxmjc', '.mp4'),88
('3AtDnEC4zak', '.mp4'),58
('cmoCYFfKQtc', '.mp4'),129
('Wc3DDIZK3c0', '.mp4'),52
('HqTNDJgvaj0', '.mp4'),85
('YIHRlWmeodY', '.mp4'),81
('kBsycvSU6r8', '.mp4'),288
('nwyjxsOYnys', '.mp4'),81
('ixAK_UvLu0A', '.mp4'),237
('tg00YEETFzg', '.mp4'),201
('-u08GXzjJrM', '.mp4'),191
('sunoA3R1YF8', '.mp4'),120
('O6RjAeIS0w0', '.mp4'),22
('4fnN52gA5oM', '.mp4'),33
('BPNTC7uZYrI', '.mp4'),85
('afUuzGTCtuw', '.mp4'),138
('E1mU6h4Xdxc', '.mp4'),204
('euCqAq6BRa4', '.mp4'),96
('7yQdrxxPiKQ', '.mp4'),257
('YtG-c1Thfco', '.mp4'),67
('0k_1kvDh2UA', '.mp4'),234
('uxpDa-c-4Mc', '.mp4'),95
('Oxo_9KbVS0I', '.mp4'),123
('i5Sutf3rg94', '.mp4'),81
('hbJuEFs7-kU', '.mp4'),73
('m2QoJqBdfGE', '.mp4'),89
('EZW7et3tPuQ', '.mp4'),74
('IqYFWQcnBXA', '.mp4'),210
('9vMh9f41pqE', '.mp4'),104
('i_FXF5tR74U', '.mp4'),170
('iiNXf0n_hrA', '.mp4'),126
('SZ4SNgRQduE', '.mp4'),202
('n4ZIPIwGkGk', '.mp4'),71
('MBmDssOeOqU', '.mp4'),67
('dGghkjpNCQ8', '.mp4'),164
('6CHs4x2uqcQ', '.mp4'),88
('m9fUYcxP1UA', '.mp4'),180
('J9NfIai2vZs', '.mp4'),104
('WC8s_za_6g0', '.mp4'),69
('ppL8VzT4LsI', '.mp4'),48
('svIxm6Zn1_o', '.mp4'),129
('ytIfSuy_mOA', '.mp4'),128
('2TlF9d7_K_o', '.mp4'),75
('Q0yS53QjLqg', '.mp4'),167
('YkwQbuAGLj4', '.mp4'),171
('hXM0w1DPL3I', '.mp4'),94
('A-lebYNcgBk', '.mp4'),96
('iW5EzxFR4SM', '.mp4'),190
('FEKEjpTzB0Q', '.mp4'),97
('RubBzkZzpUA', '.mp4'),163
('m4S2avleyeM', '.mp4'),257
('yC1Z-SW5CVY', '.mp4'),87
('8PTDv_szmL0', '.mp4'),91
('fUiZ5vz9pUw', '.mp4'),151
('9o3Wg7vI-0w', '.mp4'),88
('B3eAMGXFw1o', '.mp4'),151
('g0LJNEQz-E4', '.mp4'),108
