id,frames,duration
IXmF4GbA86E, 20, 0.834167
IXmF4GbA86E, 23, 0.959292
IXmF4GbA86E, 15, 0.625625
IXmF4GbA86E, 22, 0.917583
IXmF4GbA86E, 15, 0.625625
IXmF4GbA86E, 26, 1.084417
IXmF4GbA86E, 19, 0.792458
IXmF4GbA86E, 22, 0.917583
IXmF4GbA86E, 16, 0.667333
IXmF4GbA86E, 30, 1.251250
IXmF4GbA86E, 22, 0.917583
IXmF4GbA86E, 17, 0.709042
IXmF4GbA86E, 17, 0.709042
IXmF4GbA86E, 30, 1.251250
IXmF4GbA86E, 28, 1.167833
IXmF4GbA86E, 40, 1.668333
IXmF4GbA86E, 21, 0.875875
IXmF4GbA86E, 27, 1.126125
IXmF4GbA86E, 16, 0.667333
IXmF4GbA86E, 33, 1.376375
IXmF4GbA86E, 15, 0.625625
IXmF4GbA86E, 22, 0.917583
IXmF4GbA86E, 26, 1.084417
IXmF4GbA86E, 35, 1.459792
IXmF4GbA86E, 15, 0.625625
IXmF4GbA86E, 34, 1.418083
IXmF4GbA86E, 20, 0.834167
IXmF4GbA86E, 15, 0.625625
IXmF4GbA86E, 18, 0.750750
IXmF4GbA86E, 22, 0.917583
IXmF4GbA86E, 18, 0.750750
IXmF4GbA86E, 15, 0.625625
IXmF4GbA86E, 21, 0.875875
IXmF4GbA86E, 21, 0.875875
IXmF4GbA86E, 26, 1.084417
IXmF4GbA86E, 15, 0.625625
IXmF4GbA86E, 38, 1.584917
IXmF4GbA86E, 24, 1.001000
IXmF4GbA86E, 27, 1.126125
IXmF4GbA86E, 17, 0.709042
IXmF4GbA86E, 26, 1.084417
IXmF4GbA86E, 27, 1.126125
IXmF4GbA86E, 28, 1.167833
IXmF4GbA86E, 39, 1.626625
IXmF4GbA86E, 29, 1.209542
IXmF4GbA86E, 19, 0.792458
IXmF4GbA86E, 16, 0.667333
IXmF4GbA86E, 23, 0.959292
IXmF4GbA86E, 23, 0.959292
IXmF4GbA86E, 29, 1.209542
IXmF4GbA86E, 17, 0.709042
IXmF4GbA86E, 16, 0.667333
IXmF4GbA86E, 47, 1.960292
IXmF4GbA86E, 22, 0.917583
IXmF4GbA86E, 28, 1.167833
IXmF4GbA86E, 21, 0.875875
IXmF4GbA86E, 29, 1.209542
IXmF4GbA86E, 39, 1.626625
IXmF4GbA86E, 19, 0.792458
IXmF4GbA86E, 18, 0.750750
IXmF4GbA86E, 26, 1.084417
IXmF4GbA86E, 19, 0.792458
IXmF4GbA86E, 15, 0.625625
IXmF4GbA86E, 15, 0.625625
IXmF4GbA86E, 24, 1.001000
IXmF4GbA86E, 47, 1.960292
IXmF4GbA86E, 26, 1.084417
IXmF4GbA86E, 22, 0.917583
IXmF4GbA86E, 32, 1.334667
IXmF4GbA86E, 23, 0.959292
IXmF4GbA86E, 16, 0.667333
IXmF4GbA86E, 25, 1.042708
IXmF4GbA86E, 22, 0.917583
IXmF4GbA86E, 23, 0.959292
IXmF4GbA86E, 23, 0.959292
IXmF4GbA86E, 16, 0.667333
IXmF4GbA86E, 18, 0.750750
IXmF4GbA86E, 24, 1.001000
IXmF4GbA86E, 18, 0.750750
IXmF4GbA86E, 40, 1.668333
IXmF4GbA86E, 29, 1.209542
NY_n387t9gA, 152, 5.066667
NY_n387t9gA, 324, 10.800000
NY_n387t9gA, 107, 3.566667
NY_n387t9gA, 63, 2.100000
NY_n387t9gA, 55, 1.833333
NY_n387t9gA, 54, 1.800000
NY_n387t9gA, 28, 0.933333
NY_n387t9gA, 106, 3.533333
NY_n387t9gA, 327, 10.900000
NY_n387t9gA, 143, 4.766667
NY_n387t9gA, 87, 2.900000
NY_n387t9gA, 58, 1.933333
NY_n387t9gA, 103, 3.433333
NY_n387t9gA, 15, 0.500000
NY_n387t9gA, 15, 0.500000
NY_n387t9gA, 16, 0.533333
NY_n387t9gA, 68, 2.266667
NY_n387t9gA, 79, 2.633333
NY_n387t9gA, 168, 5.600000
NY_n387t9gA, 15, 0.500000
NY_n387t9gA, 43, 1.433333
NY_n387t9gA, 70, 2.333333
NY_n387t9gA, 83, 2.766667
NY_n387t9gA, 48, 1.600000
NY_n387t9gA, 39, 1.300000
NY_n387t9gA, 15, 0.500000
NY_n387t9gA, 15, 0.500000
NY_n387t9gA, 15, 0.500000
NY_n387t9gA, 62, 2.066667
NY_n387t9gA, 19, 0.633333
NY_n387t9gA, 23, 0.766667
NY_n387t9gA, 15, 0.500000
NY_n387t9gA, 15, 0.500000
NY_n387t9gA, 18, 0.600000
NY_n387t9gA, 110, 3.666667
NY_n387t9gA, 20, 0.666667
